page,text
162,"amigo íntimo e tradutor do poeta inglês John Donne, e chefe de uma grande
e arquetípica família. Constantijn admirava o pintor Rubens; “descobriu” um
jovem artista chamado Rembrandt van Rijn e depois apareceu em vários de
seus quadros. Após seu primeiro encontro, Descartes escreve sobre ele: “Não
consegui acreditar que uma única mente pudesse se ocupar com tantas coisas
e se equipar tão bem de todas elas”. A casa de Huygens era cheia de
mercadorias de todas as partes do mundo. Pensadores eminentes de outras
nações eram hóspedes frequentes. Tendo crescido nesse ambiente, o jovem
Christiaan Huygens tornou-se adepto, ao mesmo tempo, de línguas, desenho,
direito, ciência, engenharia, matemática e música. Seus interesses e lealdades
eram amplos. “O mundo é meu país”, disse ele, “a ciência, minha religião.”
A luz era um tema predominante naquele tempo: a simbólica iluminação
da liberdade de pensamento e de religião, da descoberta geográfica; a luz que
permeava as pinturas da época, em especial a primorosa obra de Vermeer; e a
luz como objeto de investigação científica, como no estudo de Snell sobre
refração, a invenção do microscópio por Leeuwenhoek e, do próprio
Huygens, a teoria do movimento ondulatório da luz.6 Todas essas atividades
eram conectadas e seus praticantes combinavam-se livremente. Os interiores
de Vermeer estão caracteristicamente cheios de artefatos náuticos e mapas de
parede. Microscópios eram curiosidades de sala de estar. Leeuwenhoek foi o
testamenteiro do espólio de Vermeer e era visita frequente na casa de
Huygens, em Hofwijck.
O microscópio de Leeuwenhoek evoluiu a partir das lupas usadas por
comerciantes de tecidos para examinar a qualidade da mercadoria. Com ele,
Leeuwenhoek descobriu um universo numa gota d’água: os micróbios, que
descreveu como “animalículos” e achou “bonitinhos”. Huygens contribuiu
para o projeto dos primeiros microscópios, com os quais ele mesmo fez
muitas descobertas. Leeuwenhoek e Huygens estiveram entre as primeiras
pessoas que viram as células do esperma humano, pré-requisito para
compreender o processo da reprodução. Para explicar como micro-
organismos se desenvolvem devagar em água previamente esterilizada,
Huygens sugeriu que eram pequenos o bastante para flutuar pelo ar e se
reproduzir ao pousar na água. Ele assim criou uma alternativa para a geração
"
163,"espontânea — a noção de que a vida pode surgir, na fermentação de suco de
uva ou carne em decomposição, totalmente independente de uma vida
preexistente. Foi só no tempo de Louis Pasteur, dois séculos depois, que a
especulação de Huygens demonstrou ser correta. A busca de vida em Marte
pela Viking pode ser rastreada de mais maneiras do que a utilizada por
Leeuwenhoek e Huygens. Eles são também os avós da teoria dos germes e,
portanto, de grande parte da medicina moderna. Mas não tinham objetivos
práticos em mente. Estavam apenas remexendo numa sociedade tecnológica.
O microscópio e o telescópio, ambos desenvolvidos na Holanda no início
do século XVII, representam uma extensão da visão humana para os reinos do
muito pequeno ou do muito grande. Nossas observações dos átomos e das
galáxias foram inauguradas naquele momento e naquele lugar. Christiaan
Huygens gostava de fazer e polir lentes para telescópicos astronômicos e
construiu um com cinco metros de comprimento. Suas descobertas com esse
telescópio por si mesmas lhe garantiriam um lugar na história das realizações
humanas. Nas pegadas de Eratóstenes, ele foi a primeira pessoa a medir o
tamanho de outro planeta. Foi também o primeiro a especular que Vênus é
todo coberto de nuvens; o primeiro a observar uma formação da superfície
de Marte (uma vasta encosta fustigada pelo vento chamada Syrtis Major); e
ao observar o aparecimento e desaparecimento dessas formações à medida
que o planeta gira, o primeiro a determinar que o dia marciano, como o
nosso, tinha a duração de mais ou menos 24 horas. Foi o primeiro a
reconhecer que Saturno era cercado por um sistema de anéis que nunca
tocava no planeta.7 E foi o descobridor de Titã, a maior lua de Saturno e,
como hoje sabemos, a maior lua no sistema solar*** — um mundo de
extraordinário interesse e promessa. Fez a maior parte dessas descobertas
com vinte e tantos anos de idade. Também achava a astrologia uma bobagem.
"
164,"Detalhe de Systema Saturnium, de Christiaan Huygens, publicado
em 1659. Mostra sua explicação (correta) da mudança no aspecto
dos anéis de Saturno no decorrer dos anos à medida que muda a
geometria relativa entre a Terra e esse planeta. Na posição B, os
anéis, proporcionalmente finos como papel, desaparecem quando só
apresentam à vista sua beirada. Na posição A, eles apresentam sua
máxima extensão visível da Terra, configuração que causou a
Galileu, cujo telescópio era muitíssimo inferior, considerável
consternação.
Huygens fez muito mais do que isso. Um problema-chave para a navegação
marítima na época era a determinação da longitude. A latitude podia ser
determinada com facilidade pelas estrelas — quanto mais ao sul se estivesse,
mais constelações do hemisfério sul eram visíveis. Mas a longitude exigia uma
medição precisa do tempo. Um relógio de boa precisão a bordo indicaria a
hora no porto de origem; o nascer e o pôr do sol e das estrelas especificariam
a hora local; e a diferença entre as duas forneceria a longitude. Huygens
inventou o relógio de pêndulo (seu princípio tinha sido descoberto antes
"
165,"disso por Galileu), que foi então empregado, não com absoluto sucesso, para
calcular posições no meio do grande oceano. Seus esforços resultaram numa
precisão sem precedentes em relógios astronômicos e outros relógios
náuticos. Ele inventou o balancim com mola em espiral, ainda usado hoje em
dia em alguns relógios; fez contribuições fundamentais à mecânica — por
exemplo, o cálculo da força centrífuga —, e, de um estudo do jogo de dados,
à teoria das probabilidades. Aperfeiçoou a bomba de ar, que mais tarde
revolucionaria a indústria da mineração, e a “lanterna mágica”, ancestral do
projetor de slides. Inventou também uma coisa chamada “motor a pólvora”,
que influenciou o desenvolvimento de outra máquina, o motor a vapor.
Huygens ficou encantado com o fato de a visão copernicana da Terra
como um planeta que se move em torno do Sol ter tido aceitação ampla até
entre as pessoas comuns na Holanda. De fato, disse ele, Copérnico foi
reconhecido por todos os astrônomos, exceto aqueles que “eram um pouco
ignorantes ou tinham superstições impostas por mera autoridade humana”.
Na Idade Média, filósofos cristãos empenhavam-se em contestar isso, já que,
como os céus dão uma volta em torno da Terra todo dia, nem de longe
podiam ter extensão infinita; e portanto era impossível haver um número
infinito de mundos, ou mesmo um grande número deles (ou até mais de um).
A descoberta de que é a Terra que gira e não o céu teve importantes
implicações para o conceito da singularidade terrestre e da possibilidade de
haver vida em outro lugar. Copérnico afirmara que não apenas o sistema
solar, mas todo o universo, era heliocêntrico, e Kepler negara que as estrelas
tivessem sistemas planetários. A primeira pessoa que tornou explícita a ideia
de um grande — na verdade, infinito — número de outros mundos em órbita
em torno de outros sóis parece ter sido Giordano Bruno. Mas outros
pensavam que a noção de pluralidade dos mundos era decorrência direta das
ideias de Copérnico e Kepler e isso os deixava horrorizados. No início do
século XVII, Robert Merton contestou que a hipótese heliocêntrica implicasse
a existência de uma multidão de outros sistemas planetários, sendo esse um
argumento do tipo chamado reductio ad absurdum (apêndice 1),
demonstrando o erro da suposição inicial. Ele escreveu, numa argumentação
que pode ter parecido uma vez devastadora:
"
166,"Pois se o firmamento for de tão incomparável tamanho, como esses gigantes de Copérnico implicam
[…] tão vasto e cheio de incontáveis estrelas, sendo de extensão infinita […] por que não poderíamos
supor […] que essas estrelas infinitas visíveis no firmamento sejam tantos quantos sóis, com centros
especificamente fixos; que tenham, da mesma forma, planetas a eles subordinados, assim como o Sol
os tem dançando em torno dele? […] E assim, por conseguinte, que haja infinitos mundos habitáveis; o
que o impede? […] a essas e como tais outras tentativas insolentes e atrevidas, paradoxos prodigiosos,
outras inferências devem se seguir, se se tomar como assegurado o que […] Kepler […] e outros
mantêm sobre o movimento da Terra.
Porém a Terra, sim, se move. Merton, se vivesse hoje, seria obrigado a
deduzir a existência de “infinitos mundos habitáveis”. Huygens não se
esquivou a essa conclusão; ele a abraçou com alegria: no outro lado do mar
do espaço as estrelas são outros sóis. Por analogia com nosso sistema solar,
Huygens inferiu que algumas estrelas deviam ter seus próprios sistemas
planetários e que muitos desses planetas poderiam ser habitados.
Se não admitirmos que esses planetas sejam mais que vastos desertos […] se os despojarmos de todas
essas criaturas que com mais clareza sinalizam seu arquiteto divino, nós os estaríamos relegando a algo
inferior à Terra em beleza e em dignidade, algo muito desarrazoado.8
Essas ideias foram apresentadas num livro extraordinário com o triunfante
título Os mundos celestiais descobertos: Conjecturas a respeito de habitantes,
plantas e produções dos mundos nos planetas. Composta pouco antes de
Huygens morrer, em 1690, a obra foi admirada por muitos, inclusive o tsar
Pedro, o Grande, que fez dela o primeiro produto da ciência ocidental a ser
publicado na Rússia. O livro versa em grande parte sobre a natureza ou os
meios ambientes dos planetas. Entre as figuras caprichadas da primeira
edição existe uma na qual se vê, em escala, o Sol e os planetas gigantes Júpiter
e Saturno. São, em termos comparativos, bem pequenos. Também há um
desenho de Saturno ao lado da Terra: nosso planeta é um círculo diminuto.
De modo geral, Huygens achava que o meio ambiente e os habitantes de
outros planetas eram como os da Terra no século XVII. Ele imaginou
“planetarianos” cujos “corpos como um todo e cada parte deles eram
distintos e diferentes dos nossos […] é uma opinião muito ridícula […] a de
que é impossível que uma alma racional possa habitar um corpo com outra
forma que não a dos nossos corpos”. Você pode ser inteligente, dizia, mesmo
"
167,"se seu aspecto for peculiar. Mas continuava argumentando que o aspecto
deles não seria muito peculiar — que deviam ter mãos e pés e andar eretos,
deviam ter escrita e geometria, e que Júpiter tinha seus quatro satélites
galileanos para prover ajuda navegacional aos marinheiros nos oceanos
jovianos. Huygens foi, é claro, um cidadão de sua época. Quem de nós não o
é? Ele afirmava que a ciência era sua religião e depois alegava que os planetas
deviam ser habitados porque, do contrário, Deus teria feito os planetas para
nada. Como viveu antes de Darwin, suas especulações sobre vida
extraterrestre carecem de uma perspectiva evolucionária. Mas foi capaz de
desenvolver, com base em observações, algo parecido com a perspectiva
cósmica moderna:
Que esquema maravilhoso e espantoso temos aqui da magnífica vastidão do universo […]. Tantos sóis,
tantas terras […] e cada uma delas estocada de tantas plantas, árvores e animais, adornada de tantos
mares e montanhas! […] E como têm de aumentar nosso assombro e nossa admiração quando
consideramos a distância prodigiosa e a multiplicidade das estrelas.
As espaçonaves Voyager são descendentes lineares daquelas viagens de
exploração dos veleiros, e da tradição científica e especulativa de Christiaan
Huygens. As Voyagers são caravelas direcionadas às estrelas, explorando no
caminho esses mundos que Huygens conhecia e tanto amava.
Uma das principais mercadorias trazidas dessas viagens de séculos atrás
foram histórias de viajantes,9 histórias sobre países alienígenas e criaturas
exóticas que espicaçaram nossa percepção de maravilhas e estimularam
explorações futuras. Havia relatos de montanhas que chegavam até o céu; de
dragões e monstros marinhos; de talheres de uso diário feitos de ouro; de um
animal que tinha um braço como nariz; de pessoas que achavam os litígios
doutrinários entre protestantes, católicos, judeus e muçulmanos uma
bobagem; de uma pedra negra que ardia; de humanos sem cabeça com bocas
no peito; de carneiros que cresciam em árvores. Algumas dessas histórias
eram verdadeiras, algumas eram mentiras. Outras tinham um fundo de
verdade, mal compreendido ou exagerado pelos exploradores ou seus
informantes. Pelas mãos de Voltaire, digamos, ou de Jonathan Swift, esses
relatos estimularam uma nova perspectiva na sociedade europeia, impondo
"
168,"uma reconsideração daquele mundo insular.
As modernas Voyagers também trazem histórias, histórias de um mundo
estilhaçado como uma esfera de cristal; um globo onde o solo é coberto, de
polo a polo, com o que parece ser uma rede de teias de aranha; luas
minúsculas com formato de batatas; um mundo com um oceano subterrâneo;
uma terra que cheira a ovo podre e tem o aspecto de uma pizza, com lagos de
enxofre derretido e erupções vulcânicas que expelem fumaça direto no
espaço; um planeta chamado Júpiter que faz o nosso parecer um anão — tão
grande que mil Terras caberiam nele.
Os satélites galileanos de Júpiter são, cada um deles, tão grandes quanto o
planeta Mercúrio. Podemos medir seus tamanhos e massas e assim calcular
suas densidades, que nos dirão alguma coisa sobre a composição de seu
interior. Descobrimos que os dois mais internos, Io e Europa, têm densidade
alta como a de uma rocha. Os outros dois, Ganimedes e Calisto, têm
densidade muito mais baixa, a meio caminho entre a da rocha e a do gelo.
Porém a mistura de gelo e rocha nessas luas externas deve conter, assim como
as rochas na Terra, traços de minerais radioativos, que aquecem suas
cercanias. Não existe um meio efetivo que faça esse calor, acumulado em
bilhões de anos, alcançar a superfície e se perder no espaço, e a
radioatividade dentro de Ganimedes e de Calisto tem, portanto, de derreter
seu interior gelado. Podem-se prever oceanos subterrâneos de neve
semiderretida e água nessas luas, um palpite, antes mesmo de termos avistado
mais de perto as superfícies desses satélites galileanos, de que podem ser
muito diferentes um do outro. Quando olhamos mais de perto, pelos olhos
da Voyager, essa previsão se confirma. Eles não se parecem entre si. São
diferentes de quaisquer mundos que já tenhamos visto.
A espaçonave Voyager 2 nunca retornará à Terra. Mas seus achados
científicos, suas descobertas épicas, suas histórias de viajante, retornarão.
Tome-se, por exemplo, o dia 9 de julho de 1979. Às 8h04 daquela manhã,
horário-padrão do Pacífico, as primeiras imagens de um mundo novo,
chamado Europa em homenagem a um antigo, foram recebidas na Terra.
Como uma imagem do sistema solar exterior chega até nós? A luz solar
brilha em Europa, em sua órbita em torno de Júpiter, e se reflete de volta
"
169,"para o espaço, onde parte dela atinge os fósforos das câmeras de TV da
Voyager, gerando uma imagem. A imagem é lida pelos computadores da nave,
irradiadas através da imensa distância de meio bilhão de quilômetros até um
radiotelescópio, uma estação baseada na Terra. Existe um na Espanha, um no
deserto de Mojave, no sul da Califórnia, e um na Austrália. (Naquela manhã
de julho de 1979 era o da Austrália que estava apontado para Júpiter e
Europa.) Ele passa então a informação via satélite de comunicações em órbita
da Terra para o sul da Califórnia, onde ela é transmitida por um conjunto de
torres de retransmissão para um computador no Laboratório de Propulsão a
Jato, onde é processada. Essa imagem é como a de uma telefoto de jornal,
composta talvez por 1 milhão de pontos individuais, cada um com um tom
diferente de cinza, tão pequenos e juntos um do outro que à distância não são
visíveis como pontos separados. Vemos apenas seu efeito cumulativo. A
informação da espaçonave especifica quão claro ou escuro deve ser cada um
desses pontos. Depois do processamento, os pontos são gravados num disco
magnético, parecido com um disco fonográfico. Algo como 18 mil
fotografias do sistema de Júpiter tiradas pela Voyager 1 estão armazenadas
nesses discos magnéticos, e um número equivalente da Voyager 2. Por fim, o
produto desse notável conjunto de conexões e transmissões é um pequeno
pedaço de papel brilhante, nesse caso mostrando as maravilhas de Europa,
registradas, processadas e examinadas pela primeira vez na história humana
em 9 de julho de 1979.
O que vemos nessas fotos é espantoso. A Voyager 1 obteve imagens
excelentes dos outros três satélites galileanos de Júpiter. Mas não de Europa.
Foi deixada à Voyager 2 a obtenção de suas primeiras imagens em close-up,
nas quais vemos coisas que só têm uns poucos quilômetros de diâmetro. À
primeira vista, o lugar se parece com nada mais do que a rede de canais que
Percival Lowell imaginou haver em Marte, e isso, sabemos da exploração feita
por veículo espacial, não existe de todo. Em Europa vemos uma assombrosa e
intricada rede de linhas retas e curvas que se intersectam. Serão cordilheiras
— isto é, elevações? Serão calhas — isto é, depressões? De que são feitas?
Serão parte de um sistema tectônico global, produzidas talvez por fraturas de
um planeta que se expande ou contrai? Será que têm relação com as placas
"
170,"tectônicas da Terra? Que luz projetam quanto ao que existe em outros
satélites do sistema joviano? No momento da descoberta, a alardeada
tecnologia tinha produzido algo espantoso. Mas cabia a outro dispositivo, o
cérebro humano, interpretar o que era isso. Europa se revelou tão liso quanto
uma bola de bilhar, apesar da rede de linhas. A ausência de crateras de
impacto pode se dever ao aquecimento e ao fluir da superfície de gelo após o
impacto. As linhas são sulcos, ou rachaduras, sendo sua origem ainda
debatida muito tempo depois da missão.
Se as missões da Voyager 1 e da Voyager 2 fossem tripuladas, o capitão
manteria um diário de bordo, e os diários, registrando a combinação dos
eventos de ambas as espaçonaves, deveriam conter algo assim:
 
Dia 1 
Depois de muita preocupação com provisões e instrumentos, que pareciam estar funcionando
mal, subimos de cabo Canaveral para nossa longa jornada aos planetas e às estrelas.
Dia 2 
Problema no posicionamento da lança que suporta a plataforma de varredura científica. Se o
problema não for resolvido, perderemos a maior parte de nossas fotos e outros dados
científicos.
Dia 13 
Olhamos para trás e tiramos as primeiras fotografias jamais obtidas da Terra e da Lua como
mundos que convivem em paz. Um belo par.
Dia 150 
Motores acionados a contento para uma correção de trajetória a meio percurso.
Dia 170 
Tarefas caseiras de rotina. Foram alguns meses sem eventos significativos.
Dia 185 
Calibração bem-sucedida de imagens tomadas de Júpiter.
Dia 207 
Problema na lança do suporte resolvido, mas falha no principal radiotransmissor. Passamos
para o transmissor reserva. Se falhar, ninguém na Terra nos ouvirá de novo.
Dia 215 
Cruzamos a órbita de Marte. O próprio planeta está agora do outro lado do Sol.
Dia 295 
Entramos no cinturão de asteroides. Muitos deles são grandes, rochedos que rolam por aqui,
os bancos de areia e recifes do espaço. A maioria não está mapeada. Imagens foram enviadas.
Esperamos que não haja colisão.
Dia 475 
Saímos com segurança do principal cinturão de asteroides, felizes por termos sobrevivido.
Dia 570 
Júpiter está ficando proeminente no céu. Podemos agora divisar nele detalhes que os maiores
telescópios na Terra jamais obtiveram.
Dia 615 
Os colossais sistemas climáticos e as nuvens mutantes de Júpiter, girando no espaço a nossa
frente, nos hipnotizam. O planeta é imenso. Tem duas vezes mais massa do que todos os outros
planetas somados. Não há montanhas, vales, vulcões, rios; não há fronteiras entre o solo e o ar;
apenas um vasto oceano de gás denso e nuvens a flutuar — um mundo sem superfície. Tudo o
que vemos em Júpiter está flutuando no céu.
Dia 630 
O clima em Júpiter continua sendo espetacular. Esse mundo tão pesado faz um giro completo
em torno de seu eixo em menos de dez horas. Seus movimentos atmosféricos são conduzidos
"
171,"por essa rotação rápida, pela luz solar e pelo calor que borbulha e jorra de seu interior.
Dia 640 
Os padrões das nuvens são nítidos e esplendorosos. Lembram um pouco o quadro Noite
estrelada, de Van Gogh, ou obras de William Blake ou Edvard Munch. Mas só um pouco.
Nenhum artista jamais pintou isso porque nenhum jamais deixou nosso planeta. Nenhum
pintor preso à Terra jamais imaginou um mundo tão estranho e encantador.
 
Observamos de perto os cinturões multicoloridos e as faixas de Júpiter. As faixas brancas são
tidas como nuvens em grande altitude, talvez cristais de amônia; os cinturões de cor
amarronzada, lugares mais profundos e mais quentes onde a atmosfera está afundando. Os
lugares azuis são, ao que parece, buracos profundos nas nuvens superpostas, através dos quais
se avista o céu claro.
 
Não sabemos a razão para a cor vermelho-amarronzada de Júpiter. Talvez seja devido à química
do fósforo ou do enxofre. Talvez por causa das complexas moléculas orgânicas de cores
brilhantes produzidas quando a luz ultravioleta do Sol quebra o metano, a amônia e a água na
atmosfera joviana e os fragmentos moleculares se recombinam. Nesse caso, as cores de Júpiter
nos falam de eventos químicos que 4 bilhões de anos atrás, lá na Terra, levaram à origem da
vida.
Dia 647 
A Grande Mancha Vermelha. Uma grande coluna de gás, erguendo-se bem alto, acima das
nuvens adjacentes, tão grande que poderia conter meia dúzia de Terras. Talvez seja vermelha
porque está tornando visíveis as complexas moléculas produzidas ou concentradas a grande
profundidade. Pode ser um grande sistema de tempestade com 1 milhão de anos de idade.
Dia 650 
Encontro. Um dia de maravilhas. Conseguimos contornar os traiçoeiros cinturões de radiação
de Júpiter com apenas um instrumento, o fotopolarímetro, que se danificou. Conseguimos
atravessar o plano do anel sem sofrer colisões com as partículas e as rochas dos recém-
descobertos anéis de Júpiter. Imagens esplêndidas de Amalteia, um mundo minúsculo,
vermelho, oblongo, que vive bem no interior do cinturão de radiação; do multicolorido Io; das
marcas lineares em Europa; os padrões em teia de aranha de Ganimedes; a grande bacia de anéis
múltiplos em Calisto. Rodeamos Calisto e passamos pela órbita de Júpiter 13, a mais exterior
das luas conhecidas do planeta. Estamos saindo daqui.
Dia 662 
Nossos detectores de partículas e de campo nos indicam que deixamos os cinturões de
radiação jovianos. A gravidade do planeta aumentou nossa velocidade. Enfim estamos livres de
Júpiter e navegamos de novo no mar do espaço.
Dia 874 
Perda do trancamento com o ponto fixo de referência da nave na estrela Canopus — que é na
tradição das constelações o leme de um veleiro. É nosso leme também, essencial para a
orientação da nave na escuridão do espaço, para que achemos nosso rumo através dessa região
inexplorada do oceano cósmico. Refeito nosso trancamento com Canopus. Parece que os
sensores ópticos confundiram Alfa e Beta de Centauro com Canopus. Próximo porto de
chamada, daqui a dois anos: o sistema de Saturno.
 
De todas as histórias de viajantes trazidas pela Voyager, as minhas favoritas
dizem respeito às descobertas feitas no mais interior dos satélites galileanos,
"
172,"Io. Antes da Voyager, sabíamos que havia algo de estranho com Io. Podíamos
discernir poucas características em sua superfície, mas sabíamos que era
vermelho — extremamente vermelho, mais vermelho do que Marte, talvez o
objeto mais vermelho no sistema solar. No decorrer de anos algo parecia
estar mudando nele, na luz infravermelha e talvez nas propriedades de
reflexão do radar. Sabíamos também que, circundando parcialmente Júpiter
na posição orbital de Io, havia, no formato de uma rosquinha, um grande
tubo de átomos de enxofre, sódio e potássio, talvez material perdido por Io.
Quando a Voyager se aproximou dessa lua gigantesca, deparamos com uma
estranha superfície multicolorida diferente de qualquer outra no sistema
solar. Io está perto do cinturão de asteroides. Em sua história deve ter sido
atingido sem cessar por rochas cadentes. Mas não havia nenhuma à vista. De
acordo com isso, deveria ter havido em Io algum processo muitíssimo
eficiente de apagar ou preencher as crateras. O processo poderia não ser
atmosférico, já que a maior parte da atmosfera de Io escapara para o espaço,
devido a sua baixa gravidade. Não poderia haver água corrente; a superfície
de Io é fria demais. Havia alguns lugares que pareciam ser os cumes de
vulcões. Mas era difícil ter certeza quanto a isso.
Linda Morabito, membro da equipe de navegação da Voyager, responsável
por manter a espaçonave em sua trajetória exata, estava, como parte de sua
rotina, instruindo um computador a ampliar uma imagem do perímetro de
Io, para ressaltar as estrelas atrás dele. Para seu espanto, viu uma coluna de
fumaça branca destacando-se da escuridão da superfície do satélite e logo
determinou que essa coluna estava na posição exata de um dos suspeitos
vulcões. A Voyager tinha descoberto o primeiro vulcão ativo além dos que
existem na Terra. Hoje sabemos de nove grandes vulcões que expelem gases e
detritos, e de centenas — talvez milhares — de vulcões extintos em Io. Os
detritos, rolando e fluindo pelas encostas das montanhas vulcânicas, ou em
grandes jatos em arco sobre a paisagem policrômica, seriam mais que
suficientes para cobrir as crateras de impacto. Estamos olhando para um
panorama planetário recente, uma superfície que acabou de eclodir. Isso
deixaria Galileu e Huygens maravilhados.
Os vulcões de Io foram previstos, antes de serem descobertos, por Stanton
"
173,"Peale e seus colaboradores, que calcularam as marés que se elevariam no
sólido interior de Io pelos efeitos combinados da atração de uma lua
próxima, Europa, e de Júpiter. Descobriram que as rochas dentro de Io
deviam ter se derretido, não pela radioatividade, mas por esse efeito de maré;
que grande parte do interior do satélite devia ser líquida. Agora parece ser
provável que os vulcões de Io estejam dando vazão a um oceano subterrâneo
de enxofre líquido, derretido e concentrado junto à superfície. Quando
enxofre sólido é aquecido a um pouco mais que o ponto de ebulição normal
da água, cerca de 115 graus Celsius, ele derrete e muda de cor; quanto mais
elevada a temperatura, mais profunda é a cor. Se o enxofre derretido for
resfriado rápido, ele mantém a cor. O padrão de cores que vemos em Io se
parece muito com o que seria de esperar se rios e torrentes e lençóis de
enxofre derretido estivessem se derramando das bocas dos vulcões: enxofre
negro, o mais quente, perto do cume do vulcão; vermelho e laranja, nas
regiões próximas, inclusive nos rios; e grandes planícies cobertas de enxofre
amarelo a uma distância maior. A superfície de Io está mudando numa escala
de tempo de meses. Mapas terão de ser feitos com regularidade, como nos
relatórios climáticos na Terra. Os futuros exploradores de Io terão de estudá-
los com calma e discernimento.
A Voyager descobriu que a atmosfera muito rarefeita e tênue de Io é
composta sobretudo por dióxido de enxofre. Mas essa atmosfera rarefeita
pode ser útil, por ter espessura suficiente para proteger a superfície das
partículas intensamente carregadas do cinturão de radiação de Júpiter, no
qual Io está inserido. À noite a temperatura cai tanto que o dióxido de
enxofre se condensa numa espécie de geada branca; as partículas carregadas
podem então queimar a superfície, e talvez fosse sensato passar as noites um
pouco abaixo dela.
As grandes colunas de fumaça vulcânica de Io chegam a tal altura que
ficam próximas de injetar seus átomos direto no espaço que circunda Júpiter.
Os vulcões são a provável fonte do grande anel em forma de rosca feito de
átomos que circunda Júpiter na posição da órbita de Io. Esses átomos, que
vão gradualmente, em movimentos de espiral, em direção a Júpiter, envolvem
a lua interior Amalteia e podem ser responsáveis por sua cor avermelhada. É
"
174,"até possível que material expelido de Io em forma de gás contribua, depois de
muitas colisões e condensações, para o sistema de anéis de Júpiter.
Uma substancial presença humana no próprio Júpiter é muito mais difícil
de imaginar — embora eu ache que cidades dentro de grandes balões que
flutuam na atmosfera seja uma possibilidade tecnológica num futuro distante.
Visto dos lados mais próximos a ele de Io ou de Europa, esse imenso e
variável mundo preenche grande parte do céu, pendurado lá em cima, nunca
nascendo ou se pondo, porque quase todo satélite no sistema solar mantém
sempre a mesma face voltada para seu planeta, como a Lua faz com a Terra.
Júpiter será uma fonte de continuada provocação e excitação para os futuros
exploradores humanos das luas jovianas.
À medida que o sistema solar se condensava de gás e poeira, Júpiter
adquiria a maior parte da matéria que não era ejetada no espaço interestelar
e que não ia formar o Sol. Se Júpiter tivesse uma massa dezenas de vezes
maior, a matéria em seu interior teria passado por reações termonucleares e
ele teria começado a brilhar com sua própria luz. O maior planeta é uma
estrela que não vingou. Mesmo assim, suas temperaturas interiores são tão
altas que desprendem o dobro da quantidade de energia que ele recebe do
Sol. Considerando a parte infravermelha do espectro, poderia ser correto
considerar Júpiter uma estrela. Se se tornasse uma estrela com luz visível,
habitaríamos hoje um sistema binário, ou de estrelas duplas, com dois sóis em
nosso céu, e as noites seriam mais raras, o que é comum, creio, em
incontáveis sistemas solares por toda a Via Láctea. Sem dúvida iríamos achar
tais circunstâncias naturais e aprazíveis.
Muito abaixo das nuvens de Júpiter, o peso das camadas superpostas da
atmosfera produz pressões muito mais altas do que qualquer uma na Terra,
pressões tão grandes que os elétrons são atirados para fora dos átomos de
hidrogênio, produzindo uma substância extraordinária, o hidrogênio
metálico líquido — estado físico que nunca se atinge na Terra. (Há alguma
esperança de que o hidrogênio metálico em temperaturas moderadas seja um
supercondutor. Se pudesse ser fabricado aqui, faria uma revolução na
eletrônica.)**** No interior do planeta, onde as pressões são cerca de 3
milhões de vezes maiores do que a pressão atmosférica na superfície da Terra,
"
175,"não existe quase nada além de um oceano escuro e esguinchante de
hidrogênio metálico. Mas bem no centro de Júpiter pode haver um caroço de
rocha e ferro, um mundo parecido com a Terra dentro de um torno de
pressão, oculto para sempre no centro do maior dos planetas.
As correntes elétricas no interior de metal líquido podem ser a fonte do
enorme campo magnético do planeta, o maior no sistema solar, e do cinturão
de elétrons e prótons cativos a ele associado. Essas partículas carregadas são
ejetadas do Sol no vento solar, e capturadas e aceleradas pelo campo
magnético de Júpiter. Grandes quantidades delas estão presas muito acima
das nuvens, condenadas a ir e vir de polo a polo até encontrarem por acaso
alguma molécula atmosférica em grande altitude e serem removidas do
cinturão de radiação. Io move-se numa órbita tão próxima de Júpiter que
passa sulcando pelo meio dessa intensa radiação, criando cascatas de
partículas carregadas, que por sua vez geram violentas irrupções de energia
em comprimento de onda de rádio. (Podem também influenciar processos
eruptivos na superfície do satélite.) Computando a posição de Io, é possível
predizer irrupções de rádio de Júpiter com confiabilidade maior do que as
das previsões de tempo na Terra.
O fato de Júpiter ser uma fonte de emissão de rádio foi descoberto por
acaso na década de 1950, início da época da radioastronomia. Dois jovens
americanos, Bernard Burke e Kenneth Franklin, estavam examinando o céu
com um radiotelescópio recém-construído muito sensível para aquela época.
Buscavam um background de rádio cósmico — isto é, fontes de rádio situadas
muito além de nosso sistema solar. Para sua surpresa, encontraram uma fonte
intensa, não referida antes, que não parecia corresponder a nenhuma estrela,
nebulosa ou galáxia proeminente. Além disso, movia-se gradualmente em
relação a estrelas longínquas, muito mais rápido do que seria capaz qualquer
objeto remoto.10 Não tendo encontrado uma explicação provável para tudo
isso em suas cartas do distante cosmos, eles um dia saíram do observatório e
olharam para cima, para o céu a olho nu, para ver se estava acontecendo lá
algo interessante. Perplexos, notaram um objeto de brilho excepcional no
lugar certo, que de imediato identificaram como o planeta Júpiter. Essa
descoberta acidental é, aliás, bem típica na história da ciência.
"
